Customer_ID,Gender,Age,L_O_S,Tariff,Handset
K107140,M,44,25.7,CAT 100,S80
K107160,M,48,10.933333,CAT 100,ASAD170
K107190,M,72,45,CAT 100,S50
K107200,M,36,9.733333,CAT 100,S50
K107210,F,31,20.033333,CAT 100,S80
K107220,M,31,28.766667,CAT 100,ASAD170
K107230,M,52,35.1,CAT 100,S50
K107240,M,31,31.7,CAT 100,ASAD170
K107250,M,68,51.633333,CAT 100,S80
K107260,F,41,46,CAT 100,S50
K107270,F,38,11.966667,CAT 100,S80
K107290,F,28,31,CAT 100,S80
K107300,F,43,52.633333,CAT 100,S50
K107330,F,38,43.7,CAT 100,ASAD170
K107360,F,52,45.233333,CAT 100,S80
K107370,M,33,32.533333,CAT 100,S50
K107380,M,68,56.633333,CAT 100,ASAD170
K107390,M,32,45.666667,CAT 100,ASAD170
K107400,F,35,26.433333,CAT 100,ASAD90
K107420,M,33,21.933333,CAT 100,ASAD170
K107430,F,32,52.966667,CAT 100,ASAD90
K107440,F,31,44.633333,CAT 100,S80
K107450,F,51,36.5,CAT 100,S50
K107470,F,28,28.8,CAT 100,S80
K107480,M,28,31.666667,CAT 100,ASAD170
K107490,M,36,18.866667,CAT 100,S80
K107500,M,56,28.2,CAT 100,S80
K107510,F,39,17.766667,CAT 100,S50
K107530,M,27,33.166667,CAT 100,S50
K107560,M,40,49.033333,CAT 100,S50
K107570,F,50,49.966667,CAT 100,ASAD170
K107580,M,43,10.533333,CAT 100,ASAD170
K107590,F,38,14.3,CAT 100,S80
K107620,M,29,12.166667,CAT 100,S80
K107630,M,36,15.533333,CAT 100,S80
K107640,M,52,41.333333,CAT 100,S80
K107660,M,52,11,CAT 100,S80
K107670,M,43,26.3,CAT 100,S80
K107680,F,28,50.5,CAT 100,S50
K107700,M,28,38.966667,CAT 100,ASAD170
K107720,M,30,31.533333,CAT 100,S80
K107730,M,42,23.6,CAT 100,S50
K107740,M,27,47.633333,CAT 100,ASAD170
K107770,F,27,54.833333,CAT 100,ASAD170
K107780,F,39,52.333333,CAT 100,S80
K107810,F,26,13.5,CAT 100,ASAD170
K107820,F,28,13.5,CAT 100,S50
K107830,F,31,34.766667,CAT 100,S50
K107840,F,45,41.366667,CAT 100,S80
K107850,F,46,20.4,CAT 100,S80
K107860,M,44,11.733333,CAT 100,ASAD170
K107870,M,28,28.4,CAT 100,S50
K107880,M,46,16,CAT 100,ASAD90
K107890,M,34,32.1,CAT 100,S80
K107910,F,46,42.966667,CAT 100,S80
K107920,F,47,30.566667,CAT 100,S50
K107930,M,33,25.166667,CAT 100,ASAD170
K107960,F,35,20.8,CAT 100,S50
K107970,F,28,35.9,CAT 100,S80
K107980,M,35,54.666667,CAT 100,S50
K107990,M,34,14.233333,CAT 100,ASAD170
K108000,M,59,41,CAT 100,S80
K108010,F,33,37.7,CAT 100,S50
K108020,F,29,56.3,CAT 100,S80
K108030,M,42,35.433333,CAT 100,ASAD170
K108040,M,42,56,CAT 100,ASAD170
K108050,M,46,39.766667,CAT 100,ASAD170
K108060,M,42,21.7,CAT 100,ASAD170
K108090,M,54,15.766667,CAT 100,S50
K108100,F,39,25.3,CAT 100,S50
K108110,F,28,55.4,CAT 100,ASAD170
K108120,M,56,32.033333,CAT 100,S80
K108130,F,34,9.966667,CAT 100,S50
K108140,F,30,26.366667,CAT 100,S50
K108150,M,64,39.666667,CAT 100,S50
K108160,F,46,55.833333,CAT 100,S50
K108170,M,37,46.6,CAT 100,ASAD170
K108180,F,30,57.5,CAT 100,ASAD170
K108190,M,43,28.466667,CAT 100,ASAD170
K108200,M,27,25.233333,CAT 100,S80
K108210,F,34,21.633333,CAT 100,ASAD170
K108240,F,26,43.8,CAT 100,ASAD170
K108250,F,40,37.333333,CAT 100,ASAD170
K108270,M,42,57.533333,CAT 100,S50
K108280,M,56,53.466667,CAT 100,S80
K108300,M,37,38.7,CAT 100,S80
K108310,M,61,30.533333,CAT 100,ASAD170
K108320,M,29,39.6,CAT 100,S80
K108330,F,60,21.266667,CAT 100,S80
K108340,M,27,43.733333,CAT 100,S50
K108350,M,26,15.866667,CAT 100,ASAD170
K108370,M,40,29.366667,CAT 100,ASAD170
K108380,M,30,46.366667,CAT 100,S50
K108390,F,52,17.9,CAT 100,S50
K108400,F,32,44.566667,CAT 100,ASAD170
K108410,M,27,14.933333,CAT 100,S50
K108420,M,39,38.166667,CAT 100,S80
K108430,M,33,34.633333,CAT 100,S50
K108440,F,29,32.266667,CAT 100,S50
K108450,F,60,18.433333,CAT 100,ASAD170
K108480,F,38,54.066667,CAT 100,S50
K108490,M,40,30.1,CAT 100,S50
K108500,F,39,24.233333,CAT 100,S80
K108520,F,42,50.266667,CAT 100,S80
K108560,M,43,39.866667,CAT 100,ASAD170
K108570,M,42,48.2,CAT 100,S80
K108580,F,38,34.866667,CAT 100,S80
K108590,F,30,31.566667,CAT 100,S80
K108600,M,39,20.6,CAT 100,S50
K108610,M,34,46.2,CAT 100,S50
K108620,M,33,55.5,CAT 100,ASAD170
K108650,F,53,41.566667,CAT 100,ASAD170
K108660,M,42,32.6,CAT 100,ASAD170
K108670,F,26,48.566667,CAT 100,ASAD170
K108690,M,45,44.033333,CAT 100,ASAD170
K108700,F,31,49.166667,CAT 100,S80
K108710,M,50,15.966667,CAT 100,S50
K108720,M,35,51.533333,CAT 100,S80
K108730,M,31,35.666667,CAT 100,S80
K108750,F,26,37.266667,CAT 100,S80
K108760,M,26,13.2,CAT 100,ASAD170
K108770,F,27,46.133333,CAT 100,ASAD170
K108780,F,27,46.233333,CAT 100,ASAD170
K108790,F,37,24,CAT 100,S80
K108810,M,47,36.666667,CAT 100,S80
K108820,F,26,41.266667,CAT 100,S50
K108840,M,35,37.466667,CAT 100,S50
K108850,F,27,15.5,CAT 100,ASAD170
K108860,M,34,47.166667,CAT 100,S50
K108870,F,30,22.933333,CAT 100,ASAD170
K108920,M,30,49.333333,CAT 100,S50
K108930,M,36,15.566667,CAT 100,S80
K108950,M,27,25.533333,CAT 100,S80
K108960,M,61,47.5,CAT 100,ASAD170
K108970,M,29,54.666667,CAT 100,S80
K108980,M,42,33.433333,CAT 100,ASAD90
K109000,F,40,35.8,CAT 100,ASAD170
K109010,M,46,50.633333,CAT 100,ASAD170
K109030,M,64,21.8,CAT 100,ASAD170
K109040,F,59,28,CAT 100,S80
K109060,F,54,35.566667,CAT 100,S80
K109090,M,45,34.666667,CAT 100,S50
K109100,F,30,16.933333,CAT 100,ASAD170
K109130,M,40,38.4,CAT 100,S50
K109140,M,32,31.3,CAT 100,ASAD170
K109160,F,29,44.8,CAT 100,S50
K109170,F,33,50.9,CAT 100,S80
K109180,M,49,56.333333,CAT 100,ASAD170
K109190,M,48,12.233333,CAT 100,S80
K109210,F,33,32.2,CAT 100,S50
K109230,M,30,13.466667,CAT 100,S50
K109240,M,26,50.333333,CAT 100,ASAD170
K109250,F,34,27.4,CAT 100,S80
K109260,M,36,35.166667,CAT 100,ASAD170
K109280,M,40,12.533333,CAT 100,S80
K109290,F,39,50.466667,CAT 100,S80
K109320,M,28,28.666667,CAT 100,S50
K109330,M,46,36.8,CAT 100,S50
K109340,M,29,38.366667,CAT 100,S80
K109360,F,44,30.733333,CAT 100,S80
K109390,M,26,35.466667,CAT 100,ASAD170
K109400,F,37,51.933333,CAT 100,S80
K109420,M,28,21.466667,CAT 100,ASAD170
K109440,M,34,24.333333,CAT 100,ASAD170
K109450,M,35,41.966667,CAT 100,S50
K109460,F,34,28.066667,CAT 100,S80
K109470,F,52,55.633333,CAT 100,ASAD170
K109480,F,28,40.333333,CAT 100,S50
K109490,M,35,19.266667,CAT 100,S50
K109500,F,26,12.833333,CAT 100,ASAD170
K109510,M,26,17,CAT 100,S80
K109520,F,30,52.066667,CAT 100,S80
K109530,F,51,36.866667,CAT 100,ASAD170
K109540,M,28,32.2,CAT 100,S50
K109590,M,38,38.433333,CAT 100,S50
K109610,M,32,11.233333,CAT 100,S80
K109630,F,44,57.7,CAT 100,S80
K109640,F,50,27.433333,CAT 100,ASAD170
K109650,M,40,42.8,CAT 100,ASAD170
K109660,F,52,42.433333,CAT 100,S50
K109670,F,31,55.733333,CAT 100,ASAD170
K109680,M,30,11.4,CAT 100,ASAD90
K109690,M,32,16.033333,CAT 100,S80
K109700,M,58,30,CAT 100,S50
K109710,F,31,13.6,CAT 100,S80
K109720,M,33,16.433333,CAT 100,ASAD170
K109730,M,36,22.233333,CAT 100,S50
K109740,M,34,43,CAT 100,S50
K109770,F,27,38.4,CAT 100,ASAD170
K109780,M,33,38.466667,CAT 100,S80
K109790,M,38,40.8,CAT 100,S80
K109800,F,34,24.466667,CAT 100,S50
K109810,F,29,51.766667,CAT 100,S80
K109820,M,31,10.666667,CAT 100,S50
K109830,M,49,29.466667,CAT 100,ASAD170
K109840,F,34,12.066667,CAT 100,S80
K109850,F,32,41.566667,CAT 100,S80
K109860,F,31,17.033333,CAT 100,S50
K109870,M,46,53.333333,CAT 100,ASAD170
K109880,F,62,21.3,CAT 100,ASAD170
K109890,F,31,20,CAT 100,ASAD170
K109900,F,36,21.366667,CAT 100,S50
K109910,F,47,47.2,CAT 100,S50
K109920,M,40,36.433333,CAT 100,S80
K109930,F,29,51.7,CAT 100,ASAD170
K109940,M,26,46.933333,CAT 100,S80
K109950,F,42,17.566667,CAT 100,S80
K109960,M,35,34.3,CAT 100,S50
K109970,F,31,31.266667,CAT 100,S80
K109980,M,36,14.533333,CAT 100,S50
K109990,M,28,42.766667,CAT 100,S80
K110020,F,26,53.033333,CAT 100,S50
K110030,M,26,17.1,CAT 100,S50
K110050,F,26,10.533333,CAT 100,S80
K110070,M,54,30.533333,CAT 100,S50
K110080,F,29,28,CAT 100,S80
K110090,M,29,31.1,CAT 100,S80
K110100,M,33,22.233333,CAT 100,S80
K110110,M,26,24.033333,CAT 100,S50
K110130,F,33,45.933333,CAT 100,S50
K110140,F,51,47,CAT 100,ASAD170
K110150,M,30,41.533333,CAT 100,ASAD170
K110160,F,33,37.3,CAT 100,S80
K110170,M,28,56.766667,CAT 100,ASAD170
K110190,M,44,39.366667,CAT 100,S50
K110200,F,30,56.666667,CAT 100,S50
K110210,M,50,23.1,CAT 100,ASAD170
K110220,M,40,29.233333,CAT 100,S50
K110230,F,43,18.133333,CAT 100,S80
K110240,M,47,15.766667,CAT 100,S50
K110250,F,48,19.566667,CAT 100,ASAD170
K110260,F,34,17.633333,CAT 100,S50
K110280,M,30,27.566667,CAT 100,S80
K110300,M,35,29.466667,CAT 100,S50
K110310,F,49,25.066667,CAT 100,S50
K110320,F,38,26.3,CAT 100,ASAD170
K110340,M,26,18.2,CAT 100,ASAD170
K110350,M,38,49.4,CAT 100,S80
K110360,F,45,9.9,CAT 100,S80
K110370,F,26,45.733333,CAT 100,S80
K110380,M,48,55.566667,CAT 100,S50
K110390,M,40,47.5,CAT 100,S80
K110410,F,28,36.4,CAT 100,S50
